Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
76.000000	0.001921	1.631000	87.351000	88.588000	1.661000	81.921000	83.553000	
77.000000	0.001919	1.623000	88.012000	89.080000	1.708000	77.629000	80.534000	
78.000000	0.001917	1.629000	87.432000	88.790000	1.701000	79.286000	81.610000	
79.000000	0.001914	1.628000	87.549000	88.764000	1.674000	81.419000	83.137000	
80.000000	0.001912	1.626000	88.181000	89.247000	1.696000	79.297000	82.026000	
81.000000	0.001910	1.622000	88.217000	89.431000	1.725000	77.027000	79.875000	
82.000000	0.001908	1.624000	88.354000	89.475000	1.657000	82.525000	84.351000	
83.000000	0.001906	1.620000	88.606000	89.695000	1.702000	79.198000	81.541000	
84.000000	0.001904	1.630000	87.353000	88.545000	1.654000	82.972000	84.594000	
85.000000	0.001901	1.622000	88.080000	89.177000	1.681000	80.202000	82.998000	
86.000000	0.001899	1.620000	88.030000	89.256000	1.672000	81.276000	83.484000	
87.000000	0.001897	1.622000	88.480000	89.282000	1.713000	78.771000	80.604000	
88.000000	0.001894	1.617000	88.733000	89.616000	1.676000	80.912000	83.692000	
89.000000	0.001892	1.618000	88.493000	89.747000	1.696000	79.681000	81.332000	
90.000000	0.001890	1.615000	89.002000	89.888000	1.707000	78.708000	81.471000	
91.000000	0.001887	1.616000	88.407000	89.405000	1.664000	82.307000	84.178000	
92.000000	0.001885	1.615000	88.850000	89.861000	1.708000	79.426000	81.124000	
93.000000	0.001882	1.617000	88.586000	89.712000	1.699000	79.706000	82.061000	
94.000000	0.001880	1.617000	88.340000	89.528000	1.656000	81.945000	84.108000	
95.000000	0.001878	1.611000	88.765000	89.853000	1.697000	79.483000	81.332000	
96.000000	0.001875	1.618000	88.650000	89.756000	1.694000	80.896000	82.130000	
97.000000	0.001873	1.610000	88.959000	89.975000	1.688000	82.822000	83.102000	
98.000000	0.001870	1.603000	89.738000	90.379000	1.695000	78.925000	81.575000	
99.000000	0.001867	1.605000	89.416000	90.485000	1.673000	81.713000	83.553000	
100.000000	0.001865	1.608000	89.050000	90.028000	1.667000	81.809000	83.206000	
